1 0.000002 0.450704
2 0.000003 0.620155
4 0.000002 2.193283
8 0.000002 4.435204
16 0.000002 7.687688
32 0.000002 16.233354
64 0.000002 34.571236
128 0.000002 67.814570
256 0.000002 120.612485
512 0.000002 226.048565
1024 0.000002 449.122807
2048 0.000002 798.829839
3072 0.000003 1120.145852
4096 0.000006 602.796174
5120 0.000005 909.211987
6144 0.000006 959.063415
7168 0.000004 1775.356037
8192 0.000020 385.052879
9216 0.000007 1321.764073
10240 0.000007 1478.433496
11264 0.000006 1693.198046
12288 0.000006 1828.231356
13312 0.000009 1492.585844
14336 0.000008 1779.211914
15360 0.000008 1943.996203
16384 0.000007 2308.011974
32768 0.000008 3764.814017
65536 0.000013 4974.269450
131072 0.000019 6503.603548
262144 0.000032 7714.939484
524288 0.000061 8169.979353
1048576 0.000114 8739.772041
2097152 0.000227 8805.319758
4194304 0.000467 8566.316230
8388608 0.000946 8458.485665
16777216 0.001922 8325.268318
33554432 0.003759 8512.745106
67108864 0.007586 8436.565923
134217728 0.015161 8442.614349
268435456 0.031194 8206.799814
536870912 0.061120 8376.981829
